City_ID,City,Country,Max Temp,Current Weather,Lat,Lng,Hotel Name
4,Vaini,TO,78.96,few clouds,-21.2,-175.2,Keleti Beach Resort
6,Salalah,OM,84.29,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
11,Harper,LR,77.22,light rain,4.375,-7.7169,Screensaver
13,Bambous Virieux,MU,82.22,broken clouds,-20.3428,57.7575,Casa Tia Villa
22,Atuona,PF,78.51,few clouds,-9.8,-139.0333,Villa Enata
27,Barao De Melgaco,BR,79.32,overcast clouds,-16.1944,-55.9675,Tuiuiu Pantanal Hotel
32,Cap Malheureux,MU,82.47,scattered clouds,-19.9842,57.6142,Pereybere Hotel & Spa
45,Tura,IN,77.52,clear sky,25.5198,90.2201,Hotel RIKMAN Continental
46,Kapaa,US,75.18,broken clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
49,Richards Bay,ZA,77.25,overcast clouds,-28.783,32.0377,BON Hotel Waterfront Richards Bay
50,Georgetown,MY,89.53,few clouds,5.4112,100.3354,Cititel Penang
55,Hilo,US,75.79,few clouds,19.7297,-155.09,Hilo Hawaiian Hotel
56,Olinda,BR,80.33,scattered clouds,-8.0089,-34.8553,Hotel Albergue de Olinda
58,Carnarvon,AU,75.27,clear sky,-24.8667,113.6333,Hospitality Carnarvon
66,Bolitoc,PH,88.95,overcast clouds,15.7395,119.8769,Seasun Beach Resort & Hotel
69,Cabo San Lucas,MX,78.51,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
75,Paracuru,BR,81.1,broken clouds,-3.41,-39.0306,Hotel Vento Brasil
76,Butaritari,KI,83.14,overcast clouds,3.0707,172.7902,Isles Sunset Lodge
78,Sao Filipe,CV,76.08,overcast clouds,14.8961,-24.4956,Hotel Xaguate
80,Noumea,NC,86.0,scattered clouds,-22.2763,166.4572,Hôtel Le Lagon
84,Dong Hoi,VN,78.44,overcast clouds,17.4833,106.6,Nam Long Hotel
85,Geraldton,AU,75.61,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
86,Quang Ngai,VN,76.15,light rain,15.1167,108.8,Central Hotel
91,Mitsamiouli,KM,84.49,light rain,-11.3847,43.2844,Foyer ADM
96,Souillac,MU,82.36,broken clouds,-20.5167,57.5167,Shanti Maurice Resort & Spa
112,Tual,ID,81.99,overcast clouds,-5.6667,132.75,Grand Vilia Hotel
115,Barmer,IN,81.91,clear sky,25.75,71.3833,OYO 71911 Hotel Amber Palace
118,Puerto El Triunfo,SV,80.76,overcast clouds,13.2833,-88.55,Hotel Jardin
122,Touros,BR,79.7,clear sky,-5.1989,-35.4608,INN NEW HORIZON
124,Mahanoro,MG,80.17,light rain,-19.9,48.8,BUNGALOW MAHAMANINA
128,Catuday,PH,84.11,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
131,Gohana,IN,76.15,clear sky,29.1333,76.7,Ashok Mor Baroda
132,Biltine,TD,76.66,scattered clouds,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
133,Faanui,PF,80.71,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
144,Acapulco,MX,75.38,few clouds,16.8634,-99.8901,HS Hotsson Smart Acapulco
148,Raichur,IN,83.52,broken clouds,16.2,77.3667,Hotel CM Residency
152,Alofi,NU,75.09,few clouds,-19.0595,-169.9187,Taloa Heights
158,Kieta,PG,83.17,light rain,-6.2167,155.6333,Uruna Bay Retreat
159,Mount Isa,AU,89.37,few clouds,-20.7333,139.5,ibis Styles Mt Isa Verona
163,Jaguaribe,BR,77.61,scattered clouds,-5.8906,-38.6219,Hotel Pinheiro
164,Saint-Philippe,RE,83.75,broken clouds,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
173,Luganville,VU,81.77,scattered clouds,-15.5333,167.1667,The Espiritu Hotel
175,Ourossogui,SN,83.8,overcast clouds,15.6064,-13.3211,Hotel welma
178,Lydenburg,ZA,77.61,clear sky,-25.0978,30.4597,The Palms Boutique Hotel
179,Dhidhdhoo,MV,81.16,broken clouds,6.8833,73.1,Dhidhoo beach
183,Bonthe,SL,78.53,scattered clouds,7.5264,-12.505,Bonthe Holiday Village
185,Hambantota,LK,86.34,scattered clouds,6.1241,81.1185,Bungalow 63
188,Iquitos,PE,75.24,heavy intensity rain,-3.7481,-73.2472,Casa Morey Hotel & Restaurant
201,The Valley,AI,81.1,clear sky,18.217,-63.0578,CeBlue Villas & Beach Resort
203,Ca Mau,VN,78.55,moderate rain,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
207,Ewa Beach,US,76.98,clear sky,21.3156,-158.0072,Uncle Junior Robert
210,Esperance,AU,76.84,overcast clouds,-33.8667,121.9,Hospitality Esperance
216,Oussouye,SN,75.38,broken clouds,12.485,-16.5469,Auberge du Routard
217,Lorengau,PG,84.11,overcast clouds,-2.0226,147.2712,Lorengau Harbourside Hotel
219,Sibolga,ID,85.68,broken clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
224,Sorong,ID,84.09,broken clouds,-0.8833,131.25,Waigo Splash Hotel
229,Hervey Bay,AU,84.31,clear sky,-25.2986,152.8535,Shelly Bay Resort
235,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
236,Bitung,ID,77.85,broken clouds,1.4451,125.1824,K2 Lembeh
238,Tarakan,ID,83.7,broken clouds,3.3,117.6333,RedDoorz Syariah near Taman Berlabuh Tarakan
241,Kattivakkam,IN,87.89,overcast clouds,13.2167,80.3167,Euronova Freezer
242,Satun,TH,87.8,overcast clouds,6.8333,100.0,บ้านไทโฮมสเตย์&รีสอร์ท จ.สตูล
250,Tiarei,PF,80.62,broken clouds,-17.5333,-149.3333,Le Rocher de Tahiti
