City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Current Weather
0,Hobart,-42.8794,147.3294,59.05,55,75,4.0,AU,broken clouds
1,Punta Arenas,-53.15,-70.9167,46.51,53,75,18.41,CL,broken clouds
2,Clyde River,70.4692,-68.5914,1.08,83,94,4.05,CA,overcast clouds
3,Airai,-8.9266,125.4092,72.66,56,69,5.14,TL,broken clouds
4,Vaini,-21.2,-175.2,78.96,83,20,9.22,TO,few clouds
5,Thompson,55.7435,-97.8558,26.76,93,90,3.44,CA,light snow
6,Salalah,17.0151,54.0924,84.29,23,0,12.66,OM,clear sky
7,Shingu,33.7333,135.9833,67.19,57,43,3.09,JP,scattered clouds
8,Busselton,-33.65,115.3333,74.28,56,1,11.41,AU,clear sky
9,Khatanga,71.9667,102.5,-27.47,100,90,2.01,RU,overcast clouds
10,Puerto Ayora,-0.7393,-90.3518,68.52,79,49,8.7,EC,scattered clouds
11,Harper,4.375,-7.7169,77.22,86,56,3.94,LR,light rain
12,San Patricio,28.017,-97.5169,73.83,77,0,11.86,US,clear sky
13,Bambous Virieux,-20.3428,57.7575,82.22,69,75,11.5,MU,broken clouds
14,Dongsheng,39.8161,109.9776,41.54,33,0,10.83,CN,clear sky
15,Altay,47.8667,88.1167,26.53,77,99,3.38,CN,overcast clouds
16,Ribeira Grande,38.5167,-28.7,67.68,83,8,13.38,PT,clear sky
17,Rikitea,-23.1203,-134.9692,74.08,84,99,14.0,PF,light rain
18,Mataura,-46.1927,168.8643,51.67,71,100,10.04,NZ,light rain
19,Avarua,-21.2078,-159.775,73.45,88,75,6.91,CK,light rain
20,Saint-Augustin,51.226,-58.6502,36.79,97,100,21.09,CA,overcast clouds
21,Portland,45.5234,-122.6762,45.28,90,84,1.01,US,broken clouds
22,Atuona,-9.8,-139.0333,78.51,73,23,14.65,PF,few clouds
23,Coquimbo,-29.9533,-71.3436,55.13,87,0,2.3,CL,clear sky
24,East London,-33.0153,27.9116,69.64,64,95,17.65,ZA,overcast clouds
25,Kargat,55.1956,80.2811,8.64,86,50,4.16,RU,scattered clouds
26,Vila Velha,-20.3297,-40.2925,66.94,96,75,3.44,BR,broken clouds
27,Barao De Melgaco,-16.1944,-55.9675,79.32,95,99,3.42,BR,overcast clouds
28,Yumen,40.2833,97.2,38.34,24,100,21.72,CN,overcast clouds
29,Klaksvik,62.2266,-6.589,49.12,95,100,32.19,FO,overcast clouds
30,Ushuaia,-54.8,-68.3,44.26,61,20,0.0,AR,few clouds
